,frame,time,dropNum,x,y,dpos,v,w,l,angle,vest
,,s,,px,px,px/frame,px/s,px,px,degree,px^3
0,1.0,0.02,0.0,674.3810424804688,790.6975708007812,0,0,155.23439025878906,155.77919006347656,159.23207092285156,15724394.502267623
1,1.0,0.02,1.0,607.4136962890625,331.2770690917969,0,0,218.14898681640625,221.9512176513672,169.0032196044922,44243812.35983944
2,2.0,0.04,0.0,674.4521484375,790.6866455078125,-0.07194038609698303,-3.5970193048491512,155.2729034423828,155.8785400390625,163.36988830566406,15742231.210401796
3,2.0,0.04,1.0,607.4635009765625,331.24932861328125,-0.057009131244463884,-2.850456562223194,218.188232421875,221.8726348876953,168.99658203125,44244062.615049765
4,3.0,0.06,0.0,674.491455078125,790.7156982421875,0,0,155.2938690185547,155.85833740234375,163.0230255126953,15744441.834275817
5,3.0,0.06,1.0,607.5114135742188,331.2542419433594,0,0,218.14892578125,221.88140869140625,168.88687133789062,44229871.87408987
6,4.0,0.08,0.0,674.4783325195312,790.7322998046875,0.021161602526458344,1.058080126322917,155.24574279785156,155.8300018310547,160.29800415039062,15731824.190636434
7,4.0,0.08,1.0,607.5051879882812,331.2737731933594,0.02049945479342555,1.0249727396712773,218.17831420898438,221.82542419433594,169.0421142578125,44230626.76722214
8,5.0,0.1,1.0,607.459228515625,331.2821044921875,0.04670849673243733,2.335424836621866,218.17127990722656,221.79306030273438,168.90499877929688,44221321.98290586
9,5.0,0.1,0.0,674.4655151367188,790.7293701171875,0.0,0.0,155.27044677734375,155.8238525390625,162.80361938476562,15736210.343899898
10,6.0,0.12,0.0,674.4876708984375,790.7029418945312,-0.034486645677803365,-1.7243322838901691,155.26028442382812,155.86448669433594,163.40940856933594,15738253.552417517
11,6.0,0.12,1.0,607.4969482421875,331.27178955078125,0.0,0.0,218.16067504882812,221.76492309570312,168.69984436035156,44211413.59279859
12,7.0,0.14,0.0,674.5610961914062,790.759765625,0.0,0.0,155.36170959472656,155.77003479003906,165.3681182861328,15749272.931925353
13,7.0,0.14,1.0,607.5426635742188,331.2831115722656,0.047096494065058406,2.3548247032529184,218.1401824951172,221.70315551757812,168.777587890625,44190796.36336876
14,8.0,0.16,0.0,674.5492553710938,790.7544555664062,-0.012976969906028557,-0.6488484953014282,155.3360595703125,155.8380584716797,166.30239868164062,15750948.316838315
15,8.0,0.16,1.0,607.52783203125,331.284912109375,0.01494043509125869,0.7470217545629348,218.14129638671875,221.69239807128906,168.6127471923828,44189103.4275175
16,9.0,0.18,1.0,607.5140380859375,331.28253173828125,0,0,218.12648010253906,221.65443420410156,168.84683227539062,44175534.76646678
17,9.0,0.18,0.0,674.5148315429688,790.7847290039062,0,0,155.25704956054688,155.76980590820312,164.8730010986328,15728037.848136773
18,10.0,0.2,0.0,674.5721435546875,790.7875366210938,0.057380740684672964,2.8690370342336458,155.33978271484375,155.73382568359375,168.33726501464844,15741167.795845421
19,10.0,0.2,1.0,607.5505981445312,331.30413818359375,0.042467356444927044,2.12336782224635,218.13877868652344,221.55364990234375,169.10458374023438,44160427.90026636
20,11.0,0.22,0.0,674.6329956054688,790.7880249023438,0.060854009751724086,3.042700487586206,155.35614013671875,155.76504516601562,171.7930908203125,15747639.337496463
21,11.0,0.22,1.0,607.5825805664062,331.3205871582031,0.035964483517636425,1.7982241758818223,218.15863037109375,221.43780517578125,169.31520080566406,44145371.33224983
22,12.0,0.24,0.0,674.5704345703125,790.8101196289062,0.06634802228923777,3.31740111446189,155.32740783691406,155.77471923828125,165.26162719726562,15742792.66437792
23,12.0,0.24,1.0,607.5678100585938,331.3343505859375,0.020189102110754864,1.0094551055377436,218.16412353515625,221.4366455078125,169.15232849121094,44147363.29211798
24,13.0,0.26,0.0,674.5516967773438,790.7763061523438,0,0,155.3209686279297,155.7281036376953,163.12144470214844,15736776.792217119
25,13.0,0.26,1.0,607.5552978515625,331.3089599609375,0,0,218.156494140625,221.33837890625,168.57708740234375,44124685.76286791
26,14.0,0.28,0.0,674.6307373046875,790.7822875976562,0.07926652919615264,3.9633264598076283,155.32540893554688,155.72332763671875,168.9947967529297,15737193.913006047
27,14.0,0.28,1.0,607.6213989257812,331.3130798339844,0.06622933916924631,3.3114669584623124,218.10951232910156,221.28578186035156,169.02093505859375,44095201.66034765
28,15.0,0.3,0.0,674.6587524414062,790.780517578125,0.0,0.0,155.32791137695312,155.74037170410156,165.48655700683594,15739423.506135318
29,15.0,0.3,1.0,607.6259155273438,331.32537841796875,0.01310171201389737,0.6550856006948698,218.09930419921875,221.26234436035156,169.0285186767578,44086404.29216141
30,16.0,0.32,0.0,674.6016845703125,790.8102416992188,0.0643448932392368,3.217244661961837,155.28700256347656,155.77590942382812,165.07395935058594,15734723.612602392
